Name	GenBank (assembly) accession number	Virus-Host-DB Host	TaxID	NCBI-superkingdom	NCBI-order	NCBI-family	NCBI-subfamily	NCBI-genus	NCBI-species	ICTV-Order	ICTV-Family	ICTV-Subfamily	ICTV-Genus	ICTV-Species	vConTACT_v1.0-IF_1.4_VCs	vConTACT_v1.0-IF_2.0_VCs	vConTACT_v1.0-IF_3.0_VCs	vConTACT_v1.0-IF_4.0_VCs	vConTACT_v1.0-IF_5.0_VCs	vConTACT_v1.0_IF_6.0_VCs	vConTACT_v1.0_IF_7.0_VCs	vConTACT_v2.0_VCs	Type_V2.0	VC Size	VC_Subcluster	VC Subcluster Size	Quality	Adj P-value (1-Pvalue)	Topology Confidence Score	Taxon (Genus) Prediction Score
Acinetobacter_phage_Ac42	NC_014660	Bacteria	762660	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Acinetobacter phage Ac42						1	2	1	1	1	1	1	1	cluster	2	VC_1_18	2	0.0078	0.9572	0.0075	1.0000
Acinetobacter_phage_Acj61	NC_014661	Bacteria	760732	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Acinetobacter phage Acj61						1	2	1	1	1	1	1	1	cluster	3	VC_1_19	3	0.0161	0.9986	0.0161	1.0000
Acinetobacter_phage_Acj9	NC_014663	Bacteria	760939	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Acinetobacter phage Acj9						1	2	1	1	1	1	1	1	cluster	3	VC_1_19	3	0.0161	0.9986	0.0161	1.0000
Acinetobacter_phage_ZZ1	NC_018087	Bacteria	1049283	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Acinetobacter phage ZZ1						1	2	1	1	1	1	1	1	cluster	3	VC_1_19	3	0.0161	0.9986	0.0161	1.0000
Acinetobacter_virus_133	NC_015250	Bacteria	279006	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Acinetobacter virus 133	Caudovirales	Myoviridae	Tevenvirinae	Unassigned	Acinetobacter virus 133	1	2	1	1	1	1	1	1	cluster	2	VC_1_18	2	0.0078	0.9572	0.0075	1.0000
Aeromonas_phage_Aes012	NC_020879	Bacteria	1198014	Viruses	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus Aes12	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus Aes12	1	2	1	1	1	1	1	1	cluster	5	VC_1_16	5	0.0345	1.0000	0.0345	0.9000
Aeromonas_phage_Aes508	NC_019543	Bacteria	1198013	Viruses	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus Aes508	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus Aes508	1	2	1	1	1	1	1	1	cluster	5	VC_1_16	5	0.0345	1.0000	0.0345	0.9000
Aeromonas_phage_phiAS4	NC_014635	Bacteria	879628	Viruses	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus AS4	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus AS4	1	2	1	1	1	1	1	1	cluster	5	VC_1_16	5	0.0345	1.0000	0.0345	0.9000
Aeromonas_virus_25	NC_008208	Bacteria	233894	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Aeromonas virus 25	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus 25	1	2	1	1	1	1	1	1	cluster	5	VC_1_16	5	0.0345	1.0000	0.0345	0.9000
Aeromonas_virus_31	NC_007022	Bacteria	321023	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Aeromonas virus 31	Caudovirales	Myoviridae		Secunda5virus	Aeromonas virus 31	1	2	1	1	1	1	1	1	cluster	2	VC_1_15	2	0.0085	0.9535	0.0081	1.0000
